(dollar sign)	[(dollar sign), $]
=	[=, =]
has	[has, a, ait, ait, ann, ann, comporte, comporte, dispose, dispose, entretient, entretient, jouit, jouit]
had	[had, a, aient, aient, avaient, avaient, avait, avait, comptait, comptait, eu, eu, eurent, eurent, eut, eut, lavait, lavait, navait, navait, possédait, possédait, sétaient, sétaient, sétait, sétait]
ab	[ab, ab]
abandonment	[abandonment, abandon, labandon, labandon]
abandoned	[abandoned, abandonne, abandonné, abandonné, abandonnée, abandonnée, abandonnés, abandonnés, tombé, tombé]
abandons	[abandons, abandonne]
abandon	[abandon, abandonner]
abandonned	[abandonned, abandonnés, labandon, labandon]
abc	[abc, abc]
abc (an american television network)	[abc (an american television network), abc]
abd	[abd, abd]
abundant	[abundant, abondante]
addresses	[addresses, aborde, adresses, adresses]
treats	[treats, aborde, traite, traite]
address	[address, aborde, adresse, adresse, adresses, adresses, ladresse, ladresse]
aborigines	[aborigines, aborigènes]
arboriginies	[arboriginies, aborigènes]
abou	[abou, abou]
about	[about, about, alentours, alentours, denviron, denviron, environ, environ, propos, propos, quelque, quelque]
led	[led, abouti, amené, amené, dirigés, dirigés, entraîne, entraîne, entraîné, entraîné, led, led, mené, mené, menée, menée, menées, menées, menés, menés]
accomplished	[accomplished, abouti, accompli, accompli]
reach	[reach, abouti, atteignent, atteignent, atteindre, atteindre, atteint, atteint, parvenir, parvenir, parviennent, parviennent]
lead	[lead, aboutir, conduire, conduire, contribue, contribue, diriger, diriger, dirigée, dirigée, dirigés, dirigés, entraîner, entraîner, file, file, mener, mener, mènent, mènent, plomb, plomb]
results	[results, aboutit, bilan, bilan, découle, découle, résultats, résultats, résulte, résulte]
abraham	[abraham, abraham]
shelter	[shelter, abrite]
hosts	[hosts, abrite, accueille, accueille]
shelters	[shelters, abrite]
lack of	[lack of, absence]
absense	[absense, absence]
absence or lack	[absence or lack, absence]
absent	[absent, absent]
absolute	[absolute, absolu, absolue, absolue]
absolutely	[absolutely, absolument]
absolutly	[absolutly, absolument]
absurd	[absurd, absurde]
(name)	[(name), abu, david, david, destaing, destaing, edmond, edmond, flair, flair, hetfield, hetfield, mickey, mickey, shakespeare, shakespeare, shakur, shakur, van, van, zona, zona]
abu	[abu, abu]
abuse	[abuse, abus]
ac	[ac, ac]
academy	[academy, académie]
academical	[academical, académique]
academic	[academic, académique, scolaire, scolaire]
agrees	[agrees, accepte]
accept	[accept, accepte, acceptent, acceptent, accepter, accepter, admis, admis]
agree	[agree, acceptent, accepter, accepter, daccord, daccord, saccordent, saccordent]
allow	[allow, accepter, permettent, permettent, permettrait, permettrait, permettre, permettre]
agreed	[agreed, accepté, signée, signée]
accessible	[accessible, accessible, accessibles, accessibles]
accident	[accident, accident, accidents, accidents, laccident, laccident]
accidents	[accidents, accidents]
accompanied	[accompanied, accompagne, accompagné, accompagné, accompagnée, accompagnée, accompagnés, accompagnés]
supports	[supports, accompagne, soutient, soutient, supporte, supporte]
accompanied by	[accompanied by, accompagné]
acommpanied	[acommpanied, accompagné]
agreement	[agreement, accord, daccord, daccord, laccord, laccord, ladoption, ladoption]
grants	[grants, accorde]
to give	[to give, accorder, donner, donner]
grant	[grant, accorder, grant, grant]
agreements	[agreements, accords]
provided	[provided, accordé, apporté, apporté, fourni, fourni]
assigned	[assigned, accordée, attribués, attribués]
granted	[granted, accordée, attribuer, attribuer, attribuées, attribuées]
allowed	[allowed, accordée, permettait, permettait, permis, permis, permit, permit]
increased	[increased, accrue, augmentée, augmentée, étendues, étendues]
welcoming center	[welcoming center, accueil]
reception	[reception, accueil, réception, réception]
welcome	[welcome, accueille, accueillent, accueillent, accueillir, accueillir]
receives	[receives, accueillent, perçoit, perçoit, reçoit, reçoit]
welcomed	[welcomed, accueilli]
charges	[charges, accusations, charges, charges]
accusations	[accusations, accusations]
accuses	[accuses, accuse]
accuse	[accuse, accuse]
accused	[accused, accusé, accusés, accusés]
access	[access, accède, accès, accès, accéder, accéder, daccéder, daccéder, laccès, laccès]
skipped	[skipped, accède]
accesses	[accesses, accède]
ac/dc (rock band)	[ac/dc (rock band), acdc]
ace	[ace, ace]
buy	[buy, acheter, achète, achète, dachat, dachat]
purchased	[purchased, acheté]
bought	[bought, acheté]
complete	[complete, achevé, complète, complète, complètes, complètes, compléter, compléter, complété, complété, entiers, entiers]
achieved	[achieved, achevé, parvenu, parvenu]
completed	[completed, achevée, achève, achève, complété, complété]
achille	[achille, achille]
a	[a, achromatie, quun, quun, un, un, une, une]
achromate	[achromate, achromatie]
the color vision	[the color vision, achromatie]
colorblindness	[colorblindness, achromatie]
achromacy	[achromacy, achromatie]
monochromacy	[monochromacy, achromatie]
achomaty	[achomaty, achromatie]
monchromacy	[monchromacy, achromatie]
achromatopsia	[achromatopsia, achromatie]
achromat	[achromat, achromatie]
achromasia	[achromasia, achromatie]
helmsman	[helmsman, achromatie, timonier, timonier]
complete color blindness	[complete color blindness, achromatie]
achromatic	[achromatic, achromatie]
achromatopsy	[achromatopsy, achromatie]
achromatie	[achromatie, achromatie]
achromatism	[achromatism, achromatie]
buys	[buys, achète]
achieves	[achieves, achève]
completes	[completes, achève]
acid	[acid, acide, azoture, azoture, lacide, lacide]
acidic	[acidic, acides]
acides	[acides, acides]
steel	[steel, acier, aciers, aciers, dacier, dacier, lacier, lacier]
steels	[steels, aciers]
acoustic	[acoustic, acoustique]
unplugged	[unplugged, acoustique]
acquire	[acquire, acquiert, acquérir, acquérir]
acquires	[acquires, acquiert]
acquired	[acquired, acquis, acquise, acquise, obtenus, obtenus]
gained	[gained, acquise, obtenus, obtenus]
act	[act, act, agir, agir, agit, agit, lacte, lacte]
deed	[deed, acte]
certificate	[certificate, acte, brevet, brevet]
acts	[acts, actes, agit, agit]
actions	[actions, actes, actions, actions]
actor	[actor, acteur, comédien, comédien, dacteur, dacteur]
actors	[actors, acteurs, actors, actors, comédiens, comédiens]
acteurs	[acteurs, acteurs]
active	[active, actif, actifs, actifs, active, active]
assets	[assets, actif, actifs, actifs]
action	[action, action, daction, daction, laction, laction]
shareholders	[shareholders, actionnaires]
actively	[actively, activement]
activity	[activity, activité, lactivité, lactivité]
activities	[activities, activités, dactivités, dactivités]
actress	[actress, actrice, lactrice, lactrice]
actresses	[actresses, actrices]
current	[current, actuel, actuelle, actuelle, actuellement, actuellement, actuelles, actuelles, actuels, actuels, courant, courant, courante, courante, courants, courants, lactuel, lactuel, lactuelle, lactuelle]
actual	[actual, actuelle, actuels, actuels, réelles, réelles, vrais, vrais]
currently	[currently, actuellement, train, train]
actually	[actually, actuellement]
adam	[adam, adam]
adams	[adams, adams]
adaptation	[adaptation, adaptation]
adaptations	[adaptations, adaptations]
adapted	[adapted, adapté, adaptée, adaptée, adaptés, adaptés]
suited	[suited, adaptées]
adhesion	[adhesion, adhésion, ladhésion, ladhésion]
membership	[membership, adhésion, appartenance, appartenance, ladhésion, ladhésion]
joining	[joining, adhésion]
assistant	[assistant, adjoint]
second in command	[second in command, adjoint]
deputy	[deputy, adjoint, député, député]
admits	[admits, admet, avoue, avoue, reconnaît, reconnaît]
admit	[admit, admet]
administrative	[administrative, administratif, administratifs, administratifs, administrative, administrative, administratives, administratives]
administration	[administration, administration, administratives, administratives, dadministration, dadministration, ladministration, ladministration]
administrations	[administrations, administrations]
admiration	[admiration, admiration]
admitted	[admitted, admis]
dna	[dna, adn, dadn, dadn]
adolescence	[adolescence, adolescence]
teenager	[teenager, adolescent]
adolescent	[adolescent, adolescent]
teenagers	[teenagers, adolescents]
adolf	[adolf, adolf]
adopt	[adopt, adopte, adopter, adopter]
adopts	[adopts, adopte, adopté, adopté]
adopted	[adopted, adopté, adoptée, adoptée]
passed	[passed, adoptée, passa, passa, passé, passé, passée, passée, passées, passées]
adult	[adult, adulte, ladulte, ladulte]
adults	[adults, adultes]
adversary	[adversary, adversaire]
opponent	[opponent, adversaire, ladversaire, ladversaire, opposant, opposant]
adversaries	[adversaries, adversaires]
weakened	[weakened, affaibli]
case	[case, affaire, arguments, arguments, cas, cas, coffret, coffret, lespèce, lespèce]
affair	[affair, affaire]
scandals	[scandals, affaires]
cases	[cases, affaires]
affect	[affect, affecte, touchent, touchent]
affects	[affects, affecte, affecté, affecté]
affected	[affected, affecté, touché, touché, touchée, touchée, touchés, touchés]
had an effect(for youtube)  assigned or appointed(for junger)	[had an effect(for youtube)  assigned or appointed(for junger), affecté]
poster	[poster, affiche, laffiche, laffiche]
displays	[displays, affiche]
posters	[posters, affiches]
affiliation	[affiliation, affiliation]
declaring	[declaring, affirmant, déclarant, déclarant]
asserting	[asserting, affirmant]
assert	[assert, affirme, affirmer, affirmer]
declares	[declares, affirme]
maintain	[maintain, affirment, assurent, assurent, conservent, conservent, conserver, conserver, maintenir, maintenir]
affirm	[affirm, affirment]
declare	[declare, affirmer, déclarent, déclarent, déclarer, déclarer]
declared	[declared, affirmé, déclara, déclara, déclaré, déclaré, déclarée, déclarée, exprimé, exprimé, proclamée, proclamée]
said	[said, affirmé, disait, disait, dit, dit, dites, dites, dits, dits, déclare, déclare, déclaré, déclaré, réputé, réputé]
says	[says, affirmé, dit, dit, déclare, déclare]
fights	[fights, affronte, combats, combats, luttes, luttes]
faces	[faces, affronte, faces, faces, heurte, heurte]
confront	[confront, affronter, face, face]
face	[face, affronter, confronté, confronté, face, face, visage, visage]
afghanistan	[afghanistan, afghanistan, lafghanistan, lafghanistan]
to	[to, afin, den, den, dy, dy, visant, visant, vue, vue, à, à]
order	[order, afin, commande, commande, dordre, dordre, décret, décret, lordre, lordre, ordre, ordre, régler, régler]
in order to	[in order to, afin]
african	[african, africain, africaine, africaine, africaines, africaines, africains, africains]
aficans	[aficans, africains]
africa	[africa, afrique, dafrique, dafrique, lafrique, lafrique]
of africa & asia	[of africa & asia, afro-asiatique]
asian-african	[asian-african, afro-asiatique]
afor-asiactic	[afor-asiactic, afro-asiatique]
afro-asiat	[afro-asiat, afro-asiatique]
africano-asian	[africano-asian, afro-asiatique]
afro-asian	[afro-asian, afro-asiatique, dysphorie, dysphorie]
depolarization	[depolarization, afro-asiatique, dépolarisation, dépolarisation]
african-asian	[african-asian, afro-asiatique]
afican-asian	[afican-asian, afro-asiatique]
asian appetizer	[asian appetizer, afro-asiatique]
afro-asian - afro-asian - afro-asian	[afro-asian - afro-asian - afro-asian, afro-asiatique]
afro-asiatic	[afro-asiatic, afro-asiatique]
afro-american	[afro-american, afroaméricain]
age	[age, age, dâge, dâge, lépoque, lépoque, âge, âge, âges, âges, époque, époque]
is estimated to be 200 million years old	[is estimated to be 200 million years old, age]
agency	[agency, agence, lagence, lagence]
agencies	[agencies, agences, organismes, organismes]
agent	[agent, agent, lagent, lagent]
agents	[agents, agents]
metropolis	[metropolis, agglomération, métropole, métropole, métropoles, métropoles]
surrounding area	[surrounding area, agglomération]
agglomeration	[agglomeration, agglomération, lagglomération, lagglomération]
settlements	[settlements, agglomérations]
conurbation	[conurbation, agglomérations]
agricultural	[agricultural, agricole, agricoles, agricoles]
farming	[farming, agricole, agriculture, agriculture]
agriculture	[agriculture, agriculture, lagriculture, lagriculture]
ahmed	[ahmed, ahmed]
have	[have, ai, aient, aient, ait, ait, avoir, avoir, avons, avons, comportent, comportent, comptent, comptent, disposent, disposent, lont, lont, navaient, navaient, ont, ont, possèdent, possèdent, présentent, présentent]
aid	[aid, aide, aides, aides, daide, daide]
help	[help, aide, aider, aider, aidé, aidé, daide, daide, laide, laide]
to help	[to help, aider, daider, daider]
helps	[helps, aides]
helped	[helped, aidé, soutenu, soutenu]
acute	[acute, aiguë]
severe	[severe, aiguë, grave, grave, graves, graves, sévère, sévère, sévères, sévères]
wings	[wings, ailes]
otherwise or furthermore	[otherwise or furthermore, ailleurs]
also	[also, ailleurs, ainsi, ainsi, aussi, aussi, outre, outre, également, également]
otherwise	[otherwise, ailleurs, autrefois, autrefois, autrement, autrement, dailleurs, dailleurs, sinon, sinon]
love	[love, aime, amour, amour, amoureuse, amoureuse, amours, amours, lamour, lamour, love, love]
likes	[likes, aime]
loved	[loved, aimé]
like	[like, aimé, comme, comme, like, like, veut, veut]
beloved	[beloved, aimé]
thus	[thus, ainsi, doù, doù, partant, partant]
